Occupation,Category,Median weekly earnings of Men ($),Median weekly earnings of Women ($),Pay gap ($),Pay gap as a percentage
Claims adjusters appraisers examiners and investigators,admin & organisation,1468,1306,162,11.04%
Compliance officers,admin & organisation,1597,1377,220,13.78%
Human resources workers,admin & organisation,1367,1259,108,7.90%
Training and development specialists,admin & organisation,1648,1222,426,25.85%
Logisticians,admin & organisation,1207,994,213,17.65%
Project management specialists,admin & organisation,1919,1661,258,13.44%
Management analysts,admin & organisation,1993,1817,176,8.83%
Business operations specialists all other,admin & organisation,1737,1224,513,29.53%
Accountants and auditors,admin & organisation,1644,1504,140,8.52%
Financial and investment analysts,admin & organisation,1760,1643,117,6.65%
Other financial specialists,admin & organisation,2386,1233,1153,48.32%
First-line supervisors of office and administrative support workers,admin & organisation,1209,1075,134,11.08%
Bookkeeping accounting and auditing clerks,admin & organisation,1100,922,178,16.18%
Financial clerks all other,admin & organisation,1335,1009,326,24.42%
Receptionists and information clerks,admin & organisation,770,749,21,2.73%
Dispatchers except police fire and ambulance,admin & organisation,1128,852,276,24.47%
Production planning and expediting clerks,admin & organisation,1335,1333,2,0.15%
Secretaries and administrative assistants except legal medical and executive,admin & organisation,1101,882,219,19.89%
Data entry keyers,admin & organisation,819,809,10,1.22%
Insurance claims and policy processing clerks,admin & organisation,1062,896,166,15.63%
Office clerks general,admin & organisation,867,824,43,4.96%
Office and administrative support workers all other,admin & organisation,1038,988,50,4.82%
Educational guidance and career counselors and advisors,care & education,1227,1158,69,5.62%
Counselors all other,care & education,1248,1011,237,18.99%
Social workers all other,care & education,1253,1228,25,2.00%
Social and human service assistants,care & education,967,962,5,0.52%
Postsecondary teachers,care & education,1852,1565,287,15.50%
Elementary and middle school teachers,care & education,1370,1220,150,10.95%
Secondary school teachers,care & education,1347,1213,134,9.95%
Other teachers and instructors,care & education,1242,1124,118,9.50%
Teaching assistants,care & education,772,685,87,11.27%
Pharmacists,care & education,2238,2180,58,2.59%
Other physicians,care & education,2920,2907,13,0.45%
Physical therapists,care & education,1715,1526,189,11.02%
Registered nurses,care & education,1657,1409,248,14.97%
Clinical laboratory technologists and technicians,care & education,1172,1089,83,7.08%
Radiologic technologists and technicians,care & education,1483,1321,162,10.92%
Pharmacy technicians,care & education,992,886,106,10.69%
Licensed practical and licensed vocational nurses,care & education,1018,984,34,3.34%
Home health aides,care & education,709,625,84,11.85%
Personal care aides,care & education,751,668,83,11.05%
Nursing assistants,care & education,765,695,70,9.15%
Medical assistants,care & education,904,738,166,18.36%
Other healthcare support workers,care & education,919,790,129,14.04%
Graphic designers,creative & media,1294,1221,73,5.64%
Other designers,creative & media,1495,1408,87,5.82%
Producers and directors,creative & media,1312,1609,-297,-22.64%
Lawyers,law & justice,2505,2330,175,6.99%
Paralegals and legal assistants,law & justice,1425,1125,300,21.05%
Correctional officers and jailers,law & justice,1133,914,219,19.33%
Police officers,law & justice,1363,1034,329,24.14%
Security guards and gambling surveillance officers,law & justice,811,717,94,11.59%
First-line supervisors of housekeeping and janitorial workers,manual work,1050,699,351,33.43%
Janitors and building cleaners,manual work,745,626,119,15.97%
Maids and housekeeping cleaners,manual work,686,611,75,10.93%
Couriers and messengers,manual work,885,711,174,19.66%
Postal service mail carriers,manual work,1194,1015,179,14.99%
Shipping receiving and inventory clerks,manual work,827,789,38,4.59%
Miscellaneous agricultural workers,manual work,704,598,106,15.06%
Construction laborers,manual work,870,711,159,18.28%
First-line supervisors of production and operating workers,manual work,1263,914,349,27.63%
Electrical electronics and electromechanical assemblers,manual work,887,782,105,11.84%
Other assemblers and fabricators,manual work,852,758,94,11.03%
Bakers,manual work,726,656,70,9.64%
Butchers and other meat poultry and fish processing workers,manual work,818,696,122,14.91%
Other metal workers and plastic workers,manual work,906,684,222,24.50%
Inspectors testers sorters samplers and weighers,manual work,1010,809,201,19.90%
Packaging and filling machine operators and tenders,manual work,752,698,54,7.18%
Other production workers,manual work,893,771,122,13.66%
Supervisors of transportation and material moving workers,manual work,1127,791,336,29.81%
Bus drivers transit and intercity,manual work,979,811,168,17.16%
Driver/sales workers and truck drivers,manual work,1016,734,282,27.76%
Industrial truck and tractor operators,manual work,812,786,26,3.20%
Cleaners of vehicles and equipment,manual work,704,605,99,14.06%
Laborers and freight stock and material movers hand,manual work,801,685,116,14.48%
Packers and packagers hand,manual work,732,667,65,8.88%
Stockers and order fillers,manual work,730,667,63,8.63%
Wholesale and retail buyers except farm products,sales & serving others,1270,1029,241,18.98%
